,gdp_growth_yoy_lag_6,UNRATE_lag_3,unemployment_change,DGS10,yield_curve_slope,inflation_yoy,gdp_growth_yoy_lag_3,fed_funds_momentum,real_fed_funds,CPIAUCSL,gdp_growth_yoy,employment_growth_yoy,gdp_growth_yoy_lag_1,employment_growth_yoy_lag_3
1959-05-01,2.8227341866989386,5.9,-2.3000000000000007,4.09,1.19,0.3455425017277136,2.156919658496048,0.4699999999999997,2.5544574982722863,29.04,2.414712049066292,5.177357897631296,4.623715106444748,2.156041569722356
1959-06-01,2.8227341866989386,5.6,-2.3,4.09,0.6999999999999997,0.6918021445866396,2.156919658496048,0.5900000000000003,2.6981978554133605,29.11,2.414712049066292,5.434654515457438,2.414712049066292,3.3431450905475835
1959-07-01,5.040537953774993,5.2,-2.4000000000000004,4.09,0.6199999999999997,0.8999653859466772,4.623715106444748,0.5100000000000002,2.570034614053323,29.15,2.881272901847831,5.417425890005689,2.414712049066292,4.495659160836429
1959-08-01,2.156919658496048,5.1,-2.2,4.09,0.5899999999999999,0.8293020041465038,2.414712049066292,0.6000000000000001,2.670697995853496,29.18,0.4555603813620079,4.104776218452955,2.881272901847831,5.177357897631296
1959-09-01,2.156919658496048,5.0,-1.5999999999999996,4.09,0.33,1.1760636457972984,2.414712049066292,0.3699999999999996,2.5839363542027014,29.25,0.4555603813620079,3.731604084960982,0.4555603813620079,5.434654515457438
1959-10-01,4.623715106444748,5.1,-1.0,4.09,0.1099999999999998,1.5219647180906293,2.881272901847831,0.5099999999999998,2.4580352819093707,29.35,1.1378486299705504,3.6379528017869367,0.4555603813620079,5.417425890005689
1959-11-01,2.414712049066292,5.2,-0.4000000000000003,4.09,0.0899999999999998,1.3816925734024157,0.4555603813620079,0.5,2.6183074265975845,29.35,0.6791941093338805,3.2535037732943195,1.1378486299705504,4.104776218452955
1959-12-01,2.414712049066292,5.5,-0.9000000000000004,4.09,0.0999999999999996,1.5188125647221271,0.4555603813620079,0.2300000000000004,2.471187435277873,29.41,0.6791941093338805,4.01075165594702,0.6791941093338805,3.731604084960982
1960-01-01,2.881272901847831,5.7,-0.7999999999999998,4.09,0.0999999999999996,1.2409513960703222,1.1378486299705504,0.0100000000000002,2.749048603929678,29.37,3.354830353843763,3.422386523876675,0.6791941093338805,3.6379528017869367
1960-02-01,0.4555603813620079,5.8,-1.1000000000000003,4.09,0.1199999999999996,1.4137931034482687,0.6791941093338805,-0.0299999999999998,2.5562068965517315,29.41,2.6575860764282977,3.463786820528392,3.354830353843763,3.2535037732943195
1960-03-01,0.4555603813620079,5.3,-0.1999999999999993,4.09,0.25,1.5188125647221271,0.6791941093338805,-0.1500000000000003,2.3211874352778725,29.41,2.6575860764282977,2.716263628475501,2.6575860764282977,4.01075165594702
