feature,f_score,selected,mi_score,rf_importance,f_score_norm,mi_score_norm,rf_importance_norm,composite_score
FEDFUNDS_change_1m,220.54744716815364,True,1.0854372297658028,0.22544454921105087,0.6548650131279669,1.0,0.22544454921105087,0.5866373236228104
FEDFUNDS_pct_change_1m,117.13133337208433,True,0.7798730087772576,0.18702712488243112,0.34779149192143893,0.7184874328896249,0.18702712488243112,0.3946945273962916
easing_cycle,336.7818881486817,True,0.23091990861774558,0.03353400620726549,1.0000000000000002,0.21274367810985215,0.03353400620726549,0.37723670591586184
tightening_cycle,242.16418994469646,True,0.2266321517024581,0.022573342715796887,0.7190516188487968,0.20879342028037579,0.022573342715796887,0.28738284882507054
fed_funds_momentum,141.75538133746443,True,0.42686226421976614,0.059447559354527085,0.4209076905246696,0.3932629658482114,0.059447559354527085,0.2680302206536751
FEDFUNDS_range_3m,79.5681440430522,True,0.3630860726847742,0.09408221104448825,0.23625509404674158,0.3345067432071726,0.09408221104448825,0.20886143559396955
GDP,70.56054105166913,True,0.3887824569285008,0.009360110054007494,0.20950881373641353,0.35818050668152007,0.009360110054007494,0.17405084014698308
FEDFUNDS_change_6m,85.45660766329057,True,0.26804996924022895,0.01198165262155466,0.2537397121781943,0.24695114732527113,0.01198165262155466,0.15499991889966147
FEDFUNDS_range_6m,73.4462333830632,True,0.23629964950763238,0.03347909275366059,0.21807730149710458,0.2176999673750062,0.03347909275366059,0.14412481776309746
FEDFUNDS_pct_change_3m,41.045622719398935,True,0.30230062197343655,0.034315788955090756,0.12187015117474037,0.27850585338653056,0.034315788955090756,0.13383911695041759
FEDFUNDS,77.9583348358114,True,0.20575128278556898,0.013817198115002165,0.23147508671913195,0.18955613198375598,0.013817198115002165,0.13183624485686724
PAYEMS,54.72025191596111,True,0.25958365135136874,0.011072814387117063,0.16247423485615156,0.2391512325474383,0.011072814387117063,0.12491676597592379
DGS10,82.57379180318148,True,0.15143167841914607,0.00958070620060193,0.24517976552520598,0.13951214705600196,0.00958070620060193,0.11923985625460314
FEDFUNDS_range_12m,69.22977146057278,True,0.17962384362712402,0.011408016206431065,0.2055573588881067,0.1654852429061054,0.011408016206431065,0.11587598702083605
yield_curve_momentum,82.60845779027689,True,0.13393001054054587,0.009953161998917388,0.24528269925896123,0.12338807520858945,0.009953161998917388,0.11458249713983215
FEDFUNDS_acceleration,28.724477646194693,True,0.24832732123949364,0.04570220881810148,0.08528496861425343,0.22878091374576628,0.04570220881810148,0.11250064823524651
FEDFUNDS_change_12m,58.82358110073141,True,0.15188405185060616,0.0055438447038866434,0.17465825236740345,0.13992891314717215,0.0055438447038866434,0.09659368753592734
inflation_yoy,41.94715918864841,True,0.1296621345608957,0.0022452409174417032,0.12454708388809341,0.11945613344114979,0.0022452409174417032,0.07409906156574964
employment_growth_fed_funds,43.03716591687072,True,0.12126199227096346,0.00544322713274361,0.12778364144075938,0.11171718543054517,0.00544322713274361,0.0740275389144888
gdp_growth_yoy_range_12m,0.865494151931302,False,0.24331853120811586,0.001969993355579327,0.0025632742399367583,0.2241663769544877,0.001969993355579327,0.06880689270055906
FEDFUNDS_pct_change_6m,17.694785796135545,True,0.15135056289031712,0.009459198873696673,0.0525344987899915,0.13943741631468912,0.009459198873696673,0.06137525408088286
employment_growth_yoy,34.8166897660044,True,0.09563977459834039,0.004481371046691491,0.1033745772728816,0.08811175070803119,0.004481371046691491,0.05923844681295043
yield_curve_volatility,36.66631965798357,True,0.08962029893627776,0.004513804997048088,0.10886668428609719,0.08256608164768266,0.004513804997048088,0.05923535177895319
employment_growth_yoy_lag_1,28.855730135012017,True,0.11195037043859002,0.004051252422259985,0.08567469669848345,0.10313850250257656,0.004051252422259985,0.05826446072922199
UNRATE_change_6m,22.766319146513595,True,0.1258375587959093,0.004506397945944183,0.06759340544053438,0.1159325987215865,0.004506397945944183,0.056860360427013944
UNRATE_pct_change_12m,23.034923354494993,True,0.11989907644629705,0.00397877566882797,0.06839097205687801,0.11046154780610098,0.00397877566882797,0.05524726622642489
gdp_growth_yoy_range_3m,12.193697741841657,True,0.15447990247176824,0.002576293462138773,0.03620011513068795,0.14232043846984987,0.002576293462138773,0.054586683465016855
gdp_growth_yoy_range_6m,6.590475694901414,False,0.1667034893501056,0.001512329560994423,0.019562464953183537,0.1535818790609145,0.001512329560994423,0.052548235028627176
inflation_unemployment_interaction,32.9112176993968,True,0.07328179309801364,0.003638805240907135,0.09771665806110674,0.06751361671445998,0.003638805240907135,0.05102460452903287
employment_growth_yoy_lag_6,19.50369281537224,True,0.11682604533652396,0.0029233038612148797,0.05790568735570735,0.10763040195491609,0.0029233038612148797,0.05083014833767298
gdp_growth_yoy_lag_3,21.428836240708616,True,0.11160222763470551,0.0016268938460076727,0.06362201674332457,0.10281776280954094,0.0016268938460076727,0.05058269140426272
gdp_growth_yoy_lag_6,16.6172344485147,True,0.12312257429874518,0.0031730672250682964,0.049334925005510843,0.11343131682088192,0.0031730672250682964,0.050099099437945147
inflation_yoy_range_12m,0.07668434518392798,False,0.17482557007795263,0.00214843101781243,0.00022106086497078285,0.16106465236656156,0.00214843101781243,0.049245086376584674
employment_growth_yoy_lag_3,24.22199060531466,True,0.09497629342761149,0.0029729740170781603,0.07191573147045406,0.08750049364725021,0.0029729740170781603,0.04901405714214254
months_since_recession,19.044969240196256,True,0.10963233035617148,0.0029951912443270984,0.05654359920213867,0.10100292062013211,0.0029951912443270984,0.04846203244441207
